number_participant,name,club,nik,gender,phone,address,target_Name,
91,Nurita,"Paguyuban Wirotomo , Jogja",32543303,Female,16413391087,"Paguyuban Wirotomo , Jogja",Target G,
92,Endang Broto,"Pratjimahastra, Boyolali",32543304,Female,16539206817,"Pratjimahastra, Boyolali",Target G,
93,Sri,"Jurang Pawon, Boyolali",32543305,Female,16665022547,"Jurang Pawon, Boyolali",Target G,
94,Siti Asiyah,"Raspati Jamparing,  Bandung",32543306,Female,16790838277,"Raspati Jamparing,  Bandung",Target G,
95,Euis,"Gendewo Mas,  Banyumas",32543307,Female,16916654007,"Gendewo Mas,  Banyumas",Target G,
96,Ernawati,"Walet Basura Pajajaran, Jawa Barat",32543308,Female,17042469737,"Walet Basura Pajajaran, Jawa Barat",Target G,
97,Ina Yaturohmah,"Jemparingan Tasikmalaya, Jawa Barat",32543309,Female,17168285467,"Jemparingan Tasikmalaya, Jawa Barat",Target G,
98,Haura,"Wisanggeni, Bantul",32543310,Female,17294101197,"Wisanggeni, Bantul",Target G,
99,Sovia,"Jkobar, Surakarta",32543311,Female,17419916927,"Jkobar, Surakarta",Target G,
100,Un,"Cungkuk, Jogja ",32543312,Female,17545732657,"Cungkuk, Jogja ",Target G,
101,Endang,"Paguyuban Hizbul Wathan, Sukoharjo",32543313,Female,17671548387,"Paguyuban Hizbul Wathan, Sukoharjo",Target G,
102,Ramdhautari Putri Nugraha,"Adiwinoto,  Yogyakarta",32543314,Female,17797364117,"Adiwinoto,  Yogyakarta",Target G,
103,Yati Kusmiati,"Cakra Wulung, Tasikmalaya",32543315,Female,17923179847,"Cakra Wulung, Tasikmalaya",Target G,
104,Tri Sukamiati,"Sambisena, Yogyakarta",32543316,Female,18048995577,"Sambisena, Yogyakarta",Target G,
105,Ardhya Nareswari,"Pringgama,  Yogyakarta",32543317,Female,18174811307,"Pringgama,  Yogyakarta",Target G,
106,Emi,"Manunggal Roso, Klaten",32543318,Female,18300627037,"Manunggal Roso, Klaten",Target H,
107,Apong Sukaesih,"Walet Basura Pajajaran, Jawa Barat",32543319,Female,18426442767,"Walet Basura Pajajaran, Jawa Barat",Target H,
108,Endang Retno Lisningrum,"Aji Saka, Yogyakarta",32543320,Female,18552258497,"Aji Saka, Yogyakarta",Target H,
109,Isworini,Archery Club Tasikmalaya (Act) Tasikmalaya,32543321,Female,18678074227,Archery Club Tasikmalaya (Act) Tasikmalaya,Target H,
110,Tita Rosita,"Jemparingan Tasikmalaya, Jawa Barat",32543322,Female,18803889957,"Jemparingan Tasikmalaya, Jawa Barat",Target H,
111,Shafa Aulia Jaisy Azizah,Jemparingan Panggungharjo Bantul,32543323,Female,18929705687,Jemparingan Panggungharjo Bantul,Target H,
112,Novi Arianti,"Gendewo Mas,  Banyumas",32543324,Female,19055521417,"Gendewo Mas,  Banyumas",Target H,
113,Niswesthi Dhuhita,"Adiwinoto,  Yogyakarta",32543325,Female,19181337147,"Adiwinoto,  Yogyakarta",Target H,
114,Ela Nurlaela,"Walet Basura Pajajaran, Jawa Barat",32543326,Female,19307152877,"Walet Basura Pajajaran, Jawa Barat",Target H,
115,Ayuk,"Paguyuban Wirotomo , Jogja",32543327,Female,19432968607,"Paguyuban Wirotomo , Jogja",Target H,
116,Tia,"Sambernyowo, Wonogiri ",32543328,Female,19558784337,"Sambernyowo, Wonogiri ",Target H,
117,Nirwasita,"Jemparingan Prambanan,  Jogja",32543329,Female,19684600067,"Jemparingan Prambanan,  Jogja",Target H,
118,Titin Sugiarti Y,Perpani Jogja,32543330,Female,19810415797,Perpani Jogja,Target H,
119,Ajeng Kencana Ramadhani,Wonopati,32543331,Female,19936231527,Wonopati,Target H,
120,Suwanti,"Sambisena, Yogyakarta",32543332,Female,20062047257,"Sambisena, Yogyakarta",Target H,
121,Na Illa Ika Suzana,"Jamasi, Bantul",32543333,Female,20187862987,"Jamasi, Bantul",Target I,
122,Dewi Yanie,"Walet Basura Pajajaran, Jawa Barat",32543334,Female,20313678717,"Walet Basura Pajajaran, Jawa Barat",Target I,
123,E Lesmana,"Cakra Wulung, Tasikmalaya",32543335,Female,20439494447,"Cakra Wulung, Tasikmalaya",Target I,
124,Ika Sariningtyas,"Sambisena, Yogyakarta",32543336,Female,20565310177,"Sambisena, Yogyakarta",Target I,
125,Ida Yuniati,Perpatri Nusantara Jaya - Jogja,32543337,Female,20691125907,Perpatri Nusantara Jaya - Jogja,Target I,
126,Sudaryanti,"Marto, Jogja",32543338,Female,20816941637,"Marto, Jogja",Target I,
127,Maryati,Jemparingan Panggungharjo Bantul,32543339,Female,20942757367,Jemparingan Panggungharjo Bantul,Target I,
128,Jayna .Q ,"Gendewo Mas,  Banyumas",32543340,Female,21068573097,"Gendewo Mas,  Banyumas",Target I,
129,Supriyatun,"Batara Archery, Jogja",32543341,Female,21194388827,"Batara Archery, Jogja",Target I,
130,Ratna Medina,"Patria, Blitar",32543342,Female,21320204557,"Patria, Blitar",Target I,
131,Febiana Kusuma Dewi,"Adiwinoto,  Yogyakarta",32543343,Female,21446020287,"Adiwinoto,  Yogyakarta",Target I,
132,Retno,"Hanacara, Jogja",32543344,Female,21571836017,"Hanacara, Jogja",Target I,
133,Agustin,"Pringgama,  Yogyakarta",32543345,Female,21697651747,"Pringgama,  Yogyakarta",Target I,
134,Cery,Bodronoyo Jogja,32543346,Female,21823467477,Bodronoyo Jogja,Target I,
135,Fifi,"Cungkuk, Jogja ",32543347,Female,21949283207,"Cungkuk, Jogja ",Target I,
136,Mm Nindita Lp,"Pagerwojo, Jogja ",32543348,Female,22075098937,"Pagerwojo, Jogja ",Target J,
137,Sri Handayani,"Joyo Pangrawit , Wonogiri",32543349,Female,22200914667,"Joyo Pangrawit , Wonogiri",Target J,
138,Dewi Anita R,"Loh Jinawi, Jogja ",32543350,Female,22326730397,"Loh Jinawi, Jogja ",Target J,
139,Indah Wahju,"Sambisena, Yogyakarta",32543351,Female,22452546127,"Sambisena, Yogyakarta",Target J,
140,Sugiyarti,"Sambernyowo, Wonogiri ",32543352,Female,22578361857,"Sambernyowo, Wonogiri ",Target J,
141,Ana Candramaya,"Jemparingan Prambanan,  Jogja",32543353,Female,22704177587,"Jemparingan Prambanan,  Jogja",Target J,
142,Sri Mulyati,"Walet Basura Pajajaran, Jawa Barat",32543354,Female,22829993317,"Walet Basura Pajajaran, Jawa Barat",Target J,
143,Indah Rumawardhani,"Rospring, Sukoharjo",32543355,Female,22955809047,"Rospring, Sukoharjo",Target J,
144,Prameswari Kusyudanti,Saranghaeyo Archery Yogyakarta,32543356,Female,23081624776,Saranghaeyo Archery Yogyakarta,Target J,
145,Nina,"Walet Basura Pajajaran, Jawa Barat",32543357,Female,23207440506,"Walet Basura Pajajaran, Jawa Barat",Target J,
146,Nasyiatul 'Aisyiyah,Perpani Jogja,32543358,Female,23333256236,Perpani Jogja,Target J,
147,Sari Rahmawati,Perpatri Nusantara Jaya Kab. Kediri,32543359,Female,23459071966,Perpatri Nusantara Jaya Kab. Kediri,Target J,
148,Santi Apriliana,Putra Pringgondani,32543360,Female,23584887696,Putra Pringgondani,Target J,
149,Nenden Rohayati,"Cakra Wulung, Tasikmalaya",32543361,Female,23710703426,"Cakra Wulung, Tasikmalaya",Target J,
150,Yasmin Alya Syifa,Wonopati,32543362,Female,23836519156,Wonopati,Target J,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
