number_participant,name,club,target_Name,nik,gender,phone,address
244,Muhammad Jamal,"Alap - Alap Slarong , Yogyakata",P,32543456,Male,9876543288,"Alap - Alap Slarong , Yogyakata"
245,Didi Suhadi,Jemparingan Cirebon,P,32543457,Male,9876543289,Jemparingan Cirebon
246,Friday,"Cungkuk, Jogja ",P,32543458,Male,9876543290,"Cungkuk, Jogja "
247,Budi Nuralam,"Mangesti, Sleman",P,32543459,Male,9876543291,"Mangesti, Sleman"
248,Supriyadi,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,P,32543460,Male,9876543292,Kawedanan Kaprajuritan 2 Karaton Yogyakarta
249,Aris Siswanto,"Rospring, Sukoharjo",P,32543461,Male,9876543293,"Rospring, Sukoharjo"
250,Alvian Octaviano Wijayanto,Arah  Archery Unair Surabaya,P,32543462,Male,9876543294,Arah  Archery Unair Surabaya
251,Wandiyo,Bwt,P,32543463,Male,9876543295,Bwt
252,Rm.Rudityo W,"Winata Manggala , Jogja",P,32543464,Male,9876543296,"Winata Manggala , Jogja"
253,Rbg. Kushariyono Arief Wibowo,"Laskar Panji Suryanegara, Malang",P,32543465,Male,9876543297,"Laskar Panji Suryanegara, Malang"
254,Mujiyanto,Kridobusoro Klaten,P,32543466,Male,9876543298,Kridobusoro Klaten
255,Riyadi,Jemparingan Lareangon  Klaten ,Q,32543467,Male,9876543299,Jemparingan Lareangon  Klaten 
256,Andi Sukmana,Jemparingan Cirebon,Q,32543468,Male,9876543300,Jemparingan Cirebon
257,Aries Yudo Prananto,"Siliran, Yogyakarta",Q,32543469,Male,9876543301,"Siliran, Yogyakarta"
258,Siswadi,Pajero Klaten,Q,32543470,Male,9876543302,Pajero Klaten
259,Muhammad Rizal Syahroni,Bca Surabaya,Q,32543471,Male,9876543303,Bca Surabaya
260,Eksand,Bodronoyo Jogja,Q,32543472,Male,9876543304,Bodronoyo Jogja
261,Hilal Musholi,"Pametri Projo, Gunungkidul",Q,32543473,Male,9876543305,"Pametri Projo, Gunungkidul"
262,Aryo Prakoso,Royal Brongto Yogyakarta,Q,32543474,Male,9876543306,Royal Brongto Yogyakarta
263,Alb. Listiyo Purwinto,Bwt,Q,32543475,Male,9876543307,Bwt
264,Agus Sutopo,"Pjkm, Klaten",Q,32543476,Male,9876543308,"Pjkm, Klaten"
265,Rb. Muhammad Akmal Maulana,Arah  Archery Unair Surabaya,Q,32543477,Male,9876543309,Arah  Archery Unair Surabaya
266,Faisal Bahri,Kridobusoro Klaten,Q,32543478,Male,9876543310,Kridobusoro Klaten
267,Faizal Helmi,"Melati Langit, Sleman",Q,32543479,Male,9876543311,"Melati Langit, Sleman"
268,Mulyono,Elbadr  Sukoharjo,Q,32543480,Male,9876543312,Elbadr  Sukoharjo
269,Joko Bro,Danurwendho. Jogjakarta,Q,32543481,Male,9876543313,Danurwendho. Jogjakarta
270,Bergas Rezqika,Royal Brongto Yogyakarta,R,32543482,Male,9876543314,Royal Brongto Yogyakarta
271,Muhammad Syafiq Zuhdi,Arah  Archery Unair Surabaya,R,32543483,Male,9876543315,Arah  Archery Unair Surabaya
272,Agus Widodo,Bwt,R,32543484,Male,9876543316,Bwt
273,Ade Nugraha,Jemparingan Cirebon,R,32543485,Male,9876543317,Jemparingan Cirebon
274,Anton,Pajero Klaten,R,32543486,Male,9876543318,Pajero Klaten
275,Martoto,"Pjkm, Klaten",R,32543487,Male,9876543319,"Pjkm, Klaten"
276,Tama,Bodronoyo Jogja,R,32543488,Male,9876543320,Bodronoyo Jogja
277,Sahadi,Kridobusoro Klaten,R,32543489,Male,9876543321,Kridobusoro Klaten
278,Bambang Edy,"Winata Manggala , Jogja",R,32543490,Male,9876543322,"Winata Manggala , Jogja"
279,Sapto Heru Yunanto,"Siliran, Yogyakarta",R,32543491,Male,9876543323,"Siliran, Yogyakarta"
280,Lukman Eko Pambudi,"Laskar Panji Suryanegara, Malang",R,32543492,Male,9876543324,"Laskar Panji Suryanegara, Malang"
281,Abdur,Elbadr  Sukoharjo,R,32543493,Male,9876543325,Elbadr  Sukoharjo
282,Wawan,Danurwendho. Jogjakarta,R,32543494,Male,9876543326,Danurwendho. Jogjakarta
283,Wiyono Bronoseto,Agung Sedayu Jogja,R,32543495,Male,9876543327,Agung Sedayu Jogja
284,Pras,"Al Fatih Archery,  Klaten",R,32543496,Male,9876543328,"Al Fatih Archery,  Klaten"
285,Habib,Elbadr  Sukoharjo,S,32543497,Male,9876543329,Elbadr  Sukoharjo
286,Rosidi,Kridobusoro Klaten,S,32543498,Male,9876543330,Kridobusoro Klaten
287,Titus Ari Kusnanto,"Siliran, Yogyakarta",S,32543499,Male,9876543331,"Siliran, Yogyakarta"
288,Agung Priambodo,Bodronoyo Jogja,S,32543500,Male,9876543332,Bodronoyo Jogja
289,Catur Apriyanto,"Pjkm, Klaten",S,32543501,Male,9876543333,"Pjkm, Klaten"
290,Muhammad Abdul Khaliq Al Hakim,Bwt,S,32543502,Male,9876543334,Bwt
291,Cas Mugi,Danurwendho. Jogjakarta,S,32543503,Male,9876543335,Danurwendho. Jogjakarta
292,Sudiman,Agung Sedayu Jogja,S,32543504,Male,9876543336,Agung Sedayu Jogja
293,Adzan,"Al Fatih Archery,  Klaten",S,32543505,Male,9876543337,"Al Fatih Archery,  Klaten"
294,Banu Iswanto,"Melati Langit, Sleman",S,32543506,Male,9876543338,"Melati Langit, Sleman"
295,Slamet Fajar,Kobra D Kalman Yogjakarta,S,32543507,Male,9876543339,Kobra D Kalman Yogjakarta
296,Juni Waldiyono,"Kensinau, Kulon Progo",S,32543508,Male,9876543340,"Kensinau, Kulon Progo"
297,Heri,"Pasty Istimewa ,  Yogyakarta",S,32543509,Male,9876543341,"Pasty Istimewa ,  Yogyakarta"
298,Rahmat D,"Paser Suro, Surabaya",S,32543510,Male,9876543342,"Paser Suro, Surabaya"
299,Hartono Putro,"Kridha Warastra, Bantul",S,32543511,Male,9876543343,"Kridha Warastra, Bantul"
300,Daliman,Kobra D Kalman Yogjakarta,T,32543512,Male,9876543344,Kobra D Kalman Yogjakarta
301,Arjun Kamanjaya,Agung Sedayu Jogja,T,32543513,Male,9876543345,Agung Sedayu Jogja
302,Fathoni,Elbadr  Sukoharjo,T,32543514,Male,9876543346,Elbadr  Sukoharjo
303,Wahyu Nugroho,"Siliran, Yogyakarta",T,32543515,Male,9876543347,"Siliran, Yogyakarta"
304,Budi,Kridobusoro Klaten,T,32543516,Male,9876543348,Kridobusoro Klaten
305,Sapto Priyono,"Pjkm, Klaten",T,32543517,Male,9876543349,"Pjkm, Klaten"
306,Muhammad Abdul Aziz,Bwt,T,32543518,Male,9876543350,Bwt
307,Agus Widodo,Danurwendho. Jogjakarta,T,32543519,Male,9876543351,Danurwendho. Jogjakarta
308,Teguh Supriya,"Kensinau, Kulon Progo",T,32543520,Male,9876543352,"Kensinau, Kulon Progo"
309,Heru,"Pasty Istimewa ,  Yogyakarta",T,32543521,Male,9876543353,"Pasty Istimewa ,  Yogyakarta"
310,M. Syahroni,"Paser Suro, Surabaya",T,32543522,Male,9876543354,"Paser Suro, Surabaya"
311,Danang Da,"Kridha Warastra, Bantul",T,32543523,Male,9876543355,"Kridha Warastra, Bantul"
312,Kiswadi,"Ronggo Sedayu, Klaten",T,32543524,Male,9876543356,"Ronggo Sedayu, Klaten"
313,Nuraziz,"Hantu Maut, Yogyakarta",T,32543525,Male,9876543357,"Hantu Maut, Yogyakarta"
314,Ana Suryana,"Walet Basura Pajajaran, Jawa Barat",T,32543526,Male,9876543358,"Walet Basura Pajajaran, Jawa Barat"
315,Widiatmoko,Agung Sedayu Jogja,U,32543527,Male,9876543359,Agung Sedayu Jogja
316,Winarno,Kridobusoro Klaten,U,32543528,Male,9876543360,Kridobusoro Klaten
317,"Drs Ary Widayanto, M,Pd",Bwt,U,32543529,Male,9876543361,Bwt
318,Agus Nur Sudrajad,"Siliran, Yogyakarta",U,32543530,Male,9876543362,"Siliran, Yogyakarta"
319,Hdc,"Al Fatih Archery,  Klaten",U,32543531,Male,9876543363,"Al Fatih Archery,  Klaten"
320,Rodin,"Kensinau, Kulon Progo",U,32543532,Male,9876543364,"Kensinau, Kulon Progo"
321,Asep,"Pasty Istimewa ,  Yogyakarta",U,32543533,Male,9876543365,"Pasty Istimewa ,  Yogyakarta"
322,Ivan W,"Paser Suro, Surabaya",U,32543534,Male,9876543366,"Paser Suro, Surabaya"
323,Suharno,"Ronggo Sedayu, Klaten",U,32543535,Male,9876543367,"Ronggo Sedayu, Klaten"
324,Sumarno,"Kridha Warastra, Bantul",U,32543536,Male,9876543368,"Kridha Warastra, Bantul"
325,Danang Rusmandoko,"Hantu Maut, Yogyakarta",U,32543537,Male,9876543369,"Hantu Maut, Yogyakarta"
326,Sugito,"Jcc, Sleman",U,32543538,Male,9876543370,"Jcc, Sleman"
327,Abhimanyu,"Jemparingan Tasikmalaya, Jawa Barat",U,32543539,Male,9876543371,"Jemparingan Tasikmalaya, Jawa Barat"
328,Panut Widodo,"Paguyuban Wirotomo , Jogja",U,32543540,Male,9876543372,"Paguyuban Wirotomo , Jogja"
329,Lasono,"Warastra ,  Sleman",U,32543541,Male,9876543373,"Warastra ,  Sleman"
330,Husen,"Kensinau, Kulon Progo",V,32543542,Male,9876543374,"Kensinau, Kulon Progo"
331,Giyanto,Agung Sedayu Jogja,V,32543543,Male,9876543375,Agung Sedayu Jogja
332,Marjono,"Siliran, Yogyakarta",V,32543544,Male,9876543376,"Siliran, Yogyakarta"
333,Tatang,Kridobusoro Klaten,V,32543545,Male,9876543377,Kridobusoro Klaten
334,"Drs Surpiyanto, M.S.I",Bwt,V,32543546,Male,9876543378,Bwt
335,Sukirno,"Kridha Warastra, Bantul",V,32543547,Male,9876543379,"Kridha Warastra, Bantul"
336,Tono,"Pasty Istimewa ,  Yogyakarta",V,32543548,Male,9876543380,"Pasty Istimewa ,  Yogyakarta"
337,Santoso Triwardono,"Ki Ageng Lembah Manah, Yogyakarta",V,32543549,Male,9876543381,"Ki Ageng Lembah Manah, Yogyakarta"
338,Yan Arief,"Jcc, Sleman",V,32543550,Male,9876543382,"Jcc, Sleman"
339,Bayu,"Paguyuban Wirotomo , Jogja",V,32543551,Male,9876543383,"Paguyuban Wirotomo , Jogja"
340,Sumaryanto,"Warastra ,  Sleman",V,32543552,Male,9876543384,"Warastra ,  Sleman"
341,Farel Arya Perkasa,Jemparingan Panggungharjo Bantul,V,32543553,Male,9876543385,Jemparingan Panggungharjo Bantul
342,Anggit,"Gendewo Mas,  Banyumas",V,32543554,Male,9876543386,"Gendewo Mas,  Banyumas"
343,Bima Aldy Setyawan,"Warastra Jati,  Gunungkidul",V,32543555,Male,9876543387,"Warastra Jati,  Gunungkidul"
344,Ali W,"Paser Suro, Surabaya",V,32543556,Male,9876543388,"Paser Suro, Surabaya"
345,Hatif P,"Paser Suro, Surabaya",W,32543557,Male,9876543389,"Paser Suro, Surabaya"
346,Nur Wicaksana,"Kridha Warastra, Bantul",W,32543558,Male,9876543390,"Kridha Warastra, Bantul"
347,Prasetya H Wardana,Bwt,W,32543559,Male,9876543391,Bwt
348,Ristanto,Agung Sedayu Jogja,W,32543560,Male,9876543392,Agung Sedayu Jogja
349,Joko Witono,Kridobusoro Klaten,W,32543561,Male,9876543393,Kridobusoro Klaten
350,Sularto,"Siliran, Yogyakarta",W,32543562,Male,9876543394,"Siliran, Yogyakarta"
351,Zukrofi,"Kensinau, Kulon Progo",W,32543563,Male,9876543395,"Kensinau, Kulon Progo"
352,Guntur,"Pasty Istimewa ,  Yogyakarta",W,32543564,Male,9876543396,"Pasty Istimewa ,  Yogyakarta"
353,Katono,"Hantu Maut, Yogyakarta",W,32543565,Male,9876543397,"Hantu Maut, Yogyakarta"
354,Iman Supardan,"Walet Basura Pajajaran, Jawa Barat",W,32543566,Male,9876543398,"Walet Basura Pajajaran, Jawa Barat"
355,Arisady,"Warastra ,  Sleman",W,32543567,Male,9876543399,"Warastra ,  Sleman"
356,Yudi Wiratno,"Ki Ageng Lembah Manah, Yogyakarta",W,32543568,Male,9876543400,"Ki Ageng Lembah Manah, Yogyakarta"
357,Fian,"Jcc, Sleman",W,32543569,Male,9876543401,"Jcc, Sleman"
358,Riyan,"Paguyuban Wirotomo , Jogja",W,32543570,Male,9876543402,"Paguyuban Wirotomo , Jogja"
359,Agus Prasetyo,"Ronggo Sedayu, Klaten",W,32543571,Male,9876543403,"Ronggo Sedayu, Klaten"
360,Jhon Rudi S.Y.,"Ronggo Sedayu, Klaten",X,32543572,Male,9876543404,"Ronggo Sedayu, Klaten"
361,Matheus Bimo Udoro,Bwt,X,32543573,Male,9876543405,Bwt
362,Galih Septyan,Agung Sedayu Jogja,X,32543574,Male,9876543406,Agung Sedayu Jogja
363,Muh Taukhid,"Siliran, Yogyakarta",X,32543575,Male,9876543407,"Siliran, Yogyakarta"
364,Wawan,Kridobusoro Klaten,X,32543576,Male,9876543408,Kridobusoro Klaten
365,Joko,"Kensinau, Kulon Progo",X,32543577,Male,9876543409,"Kensinau, Kulon Progo"
366,Riski,"Pasty Istimewa ,  Yogyakarta",X,32543578,Male,9876543410,"Pasty Istimewa ,  Yogyakarta"
367,Eko Ba'Abut,"Paser Suro, Surabaya",X,32543579,Male,9876543411,"Paser Suro, Surabaya"
368,Triono,"Hantu Maut, Yogyakarta",X,32543580,Male,9876543412,"Hantu Maut, Yogyakarta"
369,Maulana Yusup,"Walet Basura Pajajaran, Jawa Barat",X,32543581,Male,9876543413,"Walet Basura Pajajaran, Jawa Barat"
370,Budi Yuliarso,"Ki Ageng Lembah Manah, Yogyakarta",X,32543582,Male,9876543414,"Ki Ageng Lembah Manah, Yogyakarta"
371,P.Ngatino,"Paguyuban Wirotomo , Jogja",X,32543583,Male,9876543415,"Paguyuban Wirotomo , Jogja"
372,Supriyanto,"Lembah Manah, Wonogiri",X,32543584,Male,9876543416,"Lembah Manah, Wonogiri"
373,Surono,"Jcc, Sleman",X,32543585,Male,9876543417,"Jcc, Sleman"
374,Puji Setiawan,Jemparingan Panggungharjo Bantul,X,32543586,Male,9876543418,Jemparingan Panggungharjo Bantul
375,Yulianta,"Hantu Maut, Yogyakarta",Y,32543587,Male,9876543419,"Hantu Maut, Yogyakarta"
376,Julius Rio Rolando S.,"Walet Basura Pajajaran, Jawa Barat",Y,32543588,Male,9876543420,"Walet Basura Pajajaran, Jawa Barat"
377,Anas,Kridobusoro Klaten,Y,32543589,Male,9876543421,Kridobusoro Klaten
378,Cipuk Dwi,Agung Sedayu Jogja,Y,32543590,Male,9876543422,Agung Sedayu Jogja
379,Purteso,"Kensinau, Kulon Progo",Y,32543591,Male,9876543423,"Kensinau, Kulon Progo"
380,Nanang,"Pasty Istimewa ,  Yogyakarta",Y,32543592,Male,9876543424,"Pasty Istimewa ,  Yogyakarta"
381,Haryanto,"Ronggo Sedayu, Klaten",Y,32543593,Male,9876543425,"Ronggo Sedayu, Klaten"
382,Decky Ardnel Wicaksono,Jemparingan Panggungharjo Bantul,Y,32543594,Male,9876543426,Jemparingan Panggungharjo Bantul
383,Hastopo,"Gendewo Mas,  Banyumas",Y,32543595,Male,9876543427,"Gendewo Mas,  Banyumas"
384,Bayu Saputra,"Warastra Jati,  Gunungkidul",Y,32543596,Male,9876543428,"Warastra Jati,  Gunungkidul"
385,Satino,"Paguyuban Wirotomo , Jogja",Y,32543597,Male,9876543429,"Paguyuban Wirotomo , Jogja"
386,Sukardi,"Patri Jiwo,  Gunungkidul",Y,32543598,Male,9876543430,"Patri Jiwo,  Gunungkidul"
387,Mochamad Arifin,Djemparingan  Mojokerto,Y,32543599,Male,9876543431,Djemparingan  Mojokerto
388,Soni Laksono,"Ki Ageng Lembah Manah, Yogyakarta",Y,32543600,Male,9876543432,"Ki Ageng Lembah Manah, Yogyakarta"
389,Lambang Aji,"Ki Ageng Lembah Manah, Yogyakarta",Z,32543601,Male,9876543433,"Ki Ageng Lembah Manah, Yogyakarta"
390,Kris Budiharjo,Bwt,Z,32543602,Male,9876543434,Bwt
391,Budaya,Kridobusoro Klaten,Z,32543603,Male,9876543435,Kridobusoro Klaten
392,Danisubandono,Agung Sedayu Jogja,Z,32543604,Male,9876543436,Agung Sedayu Jogja
393,Suhar,"Kensinau, Kulon Progo",Z,32543605,Male,9876543437,"Kensinau, Kulon Progo"
394,Sofyan Haryadi,"Tajem, Sukoharjo",Z,32543606,Male,9876543438,"Tajem, Sukoharjo"
395,Opik,"Jcc, Sleman",Z,32543607,Male,9876543439,"Jcc, Sleman"
396,Raden Novie Kurniawan,"Walet Basura Pajajaran, Jawa Barat",Z,32543608,Male,9876543440,"Walet Basura Pajajaran, Jawa Barat"
397,Reistu Windu Pramudianarto,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,Z,32543609,Male,9876543441,Kawedanan Kaprajuritan 1 Karaton Yogyakarta
398,Kristian Prihantoro,"Ronggo Sedayu, Klaten",Z,32543610,Male,9876543442,"Ronggo Sedayu, Klaten"
399,Muhammad Singgih,Jemparingan Panggungharjo Bantul,Z,32543611,Male,9876543443,Jemparingan Panggungharjo Bantul
400,Riyanta,"Warastra ,  Sleman",Z,32543612,Male,9876543444,"Warastra ,  Sleman"
401,Mr. Jery,"Gendewo Mas,  Banyumas",Z,32543613,Male,9876543445,"Gendewo Mas,  Banyumas"
402,Nurdin M Zakaria,"Jemparingan Tasikmalaya, Jawa Barat",Z,32543614,Male,9876543446,"Jemparingan Tasikmalaya, Jawa Barat"
403,Herman,"Jemparingan Tasikmalaya, Jawa Barat",AA,32543615,Male,9876543447,"Jemparingan Tasikmalaya, Jawa Barat"
404,Banu F,"Jcc, Sleman",AA,32543616,Male,9876543448,"Jcc, Sleman"
405,Budi Susilo,"Ki Ageng Lembah Manah, Yogyakarta",AA,32543617,Male,9876543449,"Ki Ageng Lembah Manah, Yogyakarta"
406,Mochamad Nugroho,"Lembah Manah, Wonogiri",AA,32543618,Male,9876543450,"Lembah Manah, Wonogiri"
407,Lea ,"Kensinau, Kulon Progo",AA,32543619,Male,9876543451,"Kensinau, Kulon Progo"
408,M Yazid,Agung Sedayu Jogja,AA,32543620,Male,9876543452,Agung Sedayu Jogja
409,Ahmed Nur Kholis,"Ronggo Sedayu, Klaten",AA,32543621,Male,9876543453,"Ronggo Sedayu, Klaten"
410,Budi Triono,"Hantu Maut, Yogyakarta",AA,32543622,Male,9876543454,"Hantu Maut, Yogyakarta"
411,Winaryo,"Warastra ,  Sleman",AA,32543623,Male,9876543455,"Warastra ,  Sleman"
412,Andri Wantoro,Jemparingan Panggungharjo Bantul,AA,32543624,Male,9876543456,Jemparingan Panggungharjo Bantul
413,Hasim Bahri,"Walet Basura Pajajaran, Jawa Barat",AA,32543625,Male,9876543457,"Walet Basura Pajajaran, Jawa Barat"
414,Sugianto,"Gendewo Mas,  Banyumas",AA,32543626,Male,9876543458,"Gendewo Mas,  Banyumas"
415,Charol,"Paguyuban Wirotomo , Jogja",AA,32543627,Male,9876543459,"Paguyuban Wirotomo , Jogja"
416,Safrudin,"Patri Jiwo,  Gunungkidul",AA,32543628,Male,9876543460,"Patri Jiwo,  Gunungkidul"
417,Sulardi," Jbs, Solo",AA,32543629,Male,9876543461," Jbs, Solo"
