number_participant,name,club,target_Name,nik,gender,phone,address,,
214,Hendrik,Tangger Jemparingan,M,32543426,Male,81255025579,Tangger Jemparingan,,
215,PURNAWAN WIDODO,"Alap - Alap Slarong , Yogyakata",M,32543427,Male,81255025580,"Alap - Alap Slarong , Yogyakata",,
216,Dimaz Arifin Hamsyah,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,M,32543428,Male,81255025581,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,,
217,Ghozali,Gading Archery. Klaten,M,32543429,Male,81255025582,Gading Archery. Klaten,,
218,Rizki Noviardana,"Alap - Alap Slarong , Yogyakata",M,32543430,Male,81255025583,"Alap - Alap Slarong , Yogyakata",,
219,Sugeng,"Kridho Senopati,  Klaten",N,32543431,Male,81255025584,"Kridho Senopati,  Klaten",,
220,Muhammad Kennard Pasya,Jemparingan Cirebon,N,32543432,Male,81255025585,Jemparingan Cirebon,,
221,Arya,"Surya Bhirawa, Klaten",N,32543433,Male,81255025586,"Surya Bhirawa, Klaten",,
222,Dwi P,Area 89,N,32543434,Male,81255025587,Area 89,,
223,Yakub,Pajero Klaten,N,32543435,Male,81255025588,Pajero Klaten,,
224,Imam Yuda Permana,"Mangesti, Sleman",N,32543436,Male,81255025589,"Mangesti, Sleman",,
225,M.Akbar,"Krido Purihutomo, Klaten",N,32543437,Male,81255025590,"Krido Purihutomo, Klaten",,
226,Muawan Abd Qoyum,"Sipas Sriwedari, Solo",N,32543438,Male,81255025591,"Sipas Sriwedari, Solo",,
227,Murdoko,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,N,32543439,Male,81255025592,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,,
228,Slamet,"Rospring, Sukoharjo",N,32543440,Male,81255025593,"Rospring, Sukoharjo",,
229,Dhanang,"Giri Mandala ,  Wonogiri",N,32543441,Male,81255025594,"Giri Mandala ,  Wonogiri",,
230,Reksa  Darma P,"L P G, Surabaya",N,32543442,Male,81255025595,"L P G, Surabaya",,
231,AGUS PRIMAJATI,"Alap - Alap Slarong , Yogyakata",N,32543443,Male,81255025596,"Alap - Alap Slarong , Yogyakata",,
232,Okky Caesaryanto,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,N,32543444,Male,81255025597,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,,
233,Nanang Rasmawan,Bca Surabaya,N,32543445,Male,81255025598,Bca Surabaya,,
234,Agung Surjan,"Hanacara, Jogja",O,32543446,Male,81255025599,"Hanacara, Jogja",,
235,ARIF,"GENDEWO MAS, BANYUMAS",O,32543447,Male,81255025600,"GENDEWO MAS, BANYUMAS",,
236,Thoyib,Area 89,O,32543448,Male,81255025601,Area 89,,
237,Yajid,"Rospring, Sukoharjo",O,32543449,Male,81255025602,"Rospring, Sukoharjo",,
238,Setyawan Joni Efendi,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,O,32543450,Male,81255025603,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,,
239,Annas,"Surya Bhirawa, Klaten",O,32543451,Male,81255025604,"Surya Bhirawa, Klaten",,
240,Supriyanto,"Loh Jinawi, Jogja ",O,32543452,Male,81255025605,"Loh Jinawi, Jogja ",,
241,Purwo Supriyanto,"Mangesti, Sleman",O,32543453,Male,81255025606,"Mangesti, Sleman",,
242,Muhammad Rasyiddin,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,O,32543454,Male,81255025607,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,,
243,Suhartoyo,Jemparingan Cirebon,O,32543455,Male,81255025608,Jemparingan Cirebon,,
244,Mukhammad Dafid,"L P G, Surabaya",O,32543456,Male,81255025609,"L P G, Surabaya",,
245,Joko purwono,"sastro anggoro, jogja",O,32543457,Male,81255025610,"sastro anggoro, jogja",,
246,Satrio Ariwibowo,"Alap - Alap Slarong , Yogyakata",O,32543458,Male,81255025611,"Alap - Alap Slarong , Yogyakata",,
247,Topik,"Jaluwasi,  Jogja",O,32543459,Male,81255025612,"Jaluwasi,  Jogja",,
248,Yuli,Pashupatastra Magetan,O,32543460,Male,81255025613,Pashupatastra Magetan,,
249,Joko S,"Giri Mandala ,  Wonogiri",P,32543461,Male,81255025614,"Giri Mandala ,  Wonogiri",,
250,Abdullah Aqiel Abiyyi,"L P G, Surabaya",P,32543462,Male,81255025615,"L P G, Surabaya",,
251,Arief Nur Widiyanto,"Siliran, Yogyakarta",P,32543463,Male,81255025616,"Siliran, Yogyakarta",,
252,Muhammad Jamal,"Alap - Alap Slarong , Yogyakata",P,32543464,Male,81255025617,"Alap - Alap Slarong , Yogyakata",,
253,Didi Suhadi,Jemparingan Cirebon,P,32543465,Male,81255025618,Jemparingan Cirebon,,
254,Friday,"Cungkuk, Jogja ",P,32543466,Male,81255025619,"Cungkuk, Jogja ",,
255,Budi Nuralam,"Mangesti, Sleman",P,32543467,Male,81255025620,"Mangesti, Sleman",,
256,Supriyadi,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,P,32543468,Male,81255025621,Kawedanan Kaprajuritan 2 Karaton Yogyakarta,,
257,Aris Siswanto,"Rospring, Sukoharjo",P,32543469,Male,81255025622,"Rospring, Sukoharjo",,
258,Alvian Octaviano Wijayanto,Arah  Archery Unair Surabaya,P,32543470,Male,81255025623,Arah  Archery Unair Surabaya,,
259,Wandiyo,Bwt,P,32543471,Male,81255025624,Bwt,,
260,Rm.Rudityo W,"Winata Manggala , Jogja",P,32543472,Male,81255025625,"Winata Manggala , Jogja",,
261,Rbg. Kushariyono Arief Wibowo,"Laskar Panji Suryanegara, Malang",P,32543473,Male,81255025626,"Laskar Panji Suryanegara, Malang",,
262,Mujiyanto,Kridobusoro Klaten,P,32543474,Male,81255025627,Kridobusoro Klaten,,
263,Riyadi,Jemparingan Lareangon  Klaten ,Q,32543475,Male,81255025628,Jemparingan Lareangon  Klaten ,,
264,Andi Sukmana,Jemparingan Cirebon,Q,32543476,Male,81255025629,Jemparingan Cirebon,,
265,Aries Yudo Prananto,"Siliran, Yogyakarta",Q,32543477,Male,81255025630,"Siliran, Yogyakarta",,
266,Siswadi,Pajero Klaten,Q,32543478,Male,81255025631,Pajero Klaten,,
267,Muhammad Rizal Syahroni,Bca Surabaya,Q,32543479,Male,81255025632,Bca Surabaya,,
268,Eksand,Bodronoyo Jogja,Q,32543480,Male,81255025633,Bodronoyo Jogja,,
269,Hilal Musholi,"Pametri Projo, Gunungkidul",Q,32543481,Male,81255025634,"Pametri Projo, Gunungkidul",,
270,Aryo Prakoso,Royal Brongto Yogyakarta,Q,32543482,Male,81255025635,Royal Brongto Yogyakarta,,
271,Alb. Listiyo Purwinto,Bwt,Q,32543483,Male,81255025636,Bwt,,
272,Agus Sutopo,"Pjkm, Klaten",Q,32543484,Male,81255025637,"Pjkm, Klaten",,
273,Rb. Muhammad Akmal Maulana,Arah  Archery Unair Surabaya,Q,32543485,Male,81255025638,Arah  Archery Unair Surabaya,,
274,Faisal Bahri,Kridobusoro Klaten,Q,32543486,Male,81255025639,Kridobusoro Klaten,,
275,Faizal Helmi,"Melati Langit, Sleman",Q,32543487,Male,81255025640,"Melati Langit, Sleman",,
276,Mulyono,Elbadr  Sukoharjo,Q,32543488,Male,81255025641,Elbadr  Sukoharjo,,
277,Joko Bro,Danurwendho. Jogjakarta,Q,32543489,Male,81255025642,Danurwendho. Jogjakarta,,
278,Bergas Rezqika,Royal Brongto Yogyakarta,R,32543490,Male,81255025643,Royal Brongto Yogyakarta,,
279,Muhammad Syafiq Zuhdi,Arah  Archery Unair Surabaya,R,32543491,Male,81255025644,Arah  Archery Unair Surabaya,,
280,Agus Widodo,Bwt,R,32543492,Male,81255025645,Bwt,,
281,Ade Nugraha,Jemparingan Cirebon,R,32543493,Male,81255025646,Jemparingan Cirebon,,
282,Anton,Pajero Klaten,R,32543494,Male,81255025647,Pajero Klaten,,
283,Martoto,"Pjkm, Klaten",R,32543495,Male,81255025648,"Pjkm, Klaten",,
284,Tama,Bodronoyo Jogja,R,32543496,Male,81255025649,Bodronoyo Jogja,,
285,Sahadi,Kridobusoro Klaten,R,32543497,Male,81255025650,Kridobusoro Klaten,,
286,Bambang Edy,"Winata Manggala , Jogja",R,32543498,Male,81255025651,"Winata Manggala , Jogja",,
287,Sapto Heru Yunanto,"Siliran, Yogyakarta",R,32543499,Male,81255025652,"Siliran, Yogyakarta",,
288,Lukman Eko Pambudi,"Laskar Panji Suryanegara, Malang",R,32543500,Male,81255025653,"Laskar Panji Suryanegara, Malang",,
289,Abdur,Elbadr  Sukoharjo,R,32543501,Male,81255025654,Elbadr  Sukoharjo,,
290,Wawan,Danurwendho. Jogjakarta,R,32543502,Male,81255025655,Danurwendho. Jogjakarta,,
291,Wiyono Bronoseto,Agung Sedayu Jogja,R,32543503,Male,81255025656,Agung Sedayu Jogja,,
292,Pras,"Al Fatih Archery,  Klaten",R,32543504,Male,81255025657,"Al Fatih Archery,  Klaten",,
293,Habib,Elbadr  Sukoharjo,S,32543505,Male,81255025658,Elbadr  Sukoharjo,,
294,Rosidi,Kridobusoro Klaten,S,32543506,Male,81255025659,Kridobusoro Klaten,,
295,Titus Ari Kusnanto,"Siliran, Yogyakarta",S,32543507,Male,81255025660,"Siliran, Yogyakarta",,
296,Agung Priambodo,Bodronoyo Jogja,S,32543508,Male,81255025661,Bodronoyo Jogja,,
297,Catur Apriyanto,"Pjkm, Klaten",S,32543509,Male,81255025662,"Pjkm, Klaten",,
298,Muhammad Abdul Khaliq Al Hakim,Bwt,S,32543510,Male,81255025663,Bwt,,
299,Cas Mugi,Danurwendho. Jogjakarta,S,32543511,Male,81255025664,Danurwendho. Jogjakarta,,
300,Sudiman,Agung Sedayu Jogja,S,32543512,Male,81255025665,Agung Sedayu Jogja,,
301,Adzan,"Al Fatih Archery,  Klaten",S,32543513,Male,81255025666,"Al Fatih Archery,  Klaten",,
302,Banu Iswanto,"Melati Langit, Sleman",S,32543514,Male,81255025667,"Melati Langit, Sleman",,
303,Slamet Fajar,Kobra D Kalman Yogjakarta,S,32543515,Male,81255025668,Kobra D Kalman Yogjakarta,,
304,Juni Waldiyono,"Kensinau, Kulon Progo",S,32543516,Male,81255025669,"Kensinau, Kulon Progo",,
305,Heri,"Pasty Istimewa ,  Yogyakarta",S,32543517,Male,81255025670,"Pasty Istimewa ,  Yogyakarta",,
306,Rahmat D,"Paser Suro, Surabaya",S,32543518,Male,81255025671,"Paser Suro, Surabaya",,
307,Hartono Putro,"Kridha Warastra, Bantul",S,32543519,Male,81255025672,"Kridha Warastra, Bantul",,
308,Daliman,Kobra D Kalman Yogjakarta,T,32543520,Male,81255025673,Kobra D Kalman Yogjakarta,,
309,Arjun Kamanjaya,Agung Sedayu Jogja,T,32543521,Male,81255025674,Agung Sedayu Jogja,,
310,Fathoni,Elbadr  Sukoharjo,T,32543522,Male,81255025675,Elbadr  Sukoharjo,,
311,Wahyu Nugroho,"Siliran, Yogyakarta",T,32543523,Male,81255025676,"Siliran, Yogyakarta",,
312,Budi,Kridobusoro Klaten,T,32543524,Male,81255025677,Kridobusoro Klaten,,
313,Sapto Priyono,"Pjkm, Klaten",T,32543525,Male,81255025678,"Pjkm, Klaten",,
314,Muhammad Abdul Aziz,Bwt,T,32543526,Male,81255025679,Bwt,,
315,Agus Widodo,Danurwendho. Jogjakarta,T,32543527,Male,81255025680,Danurwendho. Jogjakarta,,
316,Teguh Supriya,"Kensinau, Kulon Progo",T,32543528,Male,81255025681,"Kensinau, Kulon Progo",,
317,Heru,"Pasty Istimewa ,  Yogyakarta",T,32543529,Male,81255025682,"Pasty Istimewa ,  Yogyakarta",,
318,M. Syahroni,"Paser Suro, Surabaya",T,32543530,Male,81255025683,"Paser Suro, Surabaya",,
319,Danang Da,"Kridha Warastra, Bantul",T,32543531,Male,81255025684,"Kridha Warastra, Bantul",,
320,Kiswadi,"Ronggo Sedayu, Klaten",T,32543532,Male,81255025685,"Ronggo Sedayu, Klaten",,
321,Nuraziz,"Hantu Maut, Yogyakarta",T,32543533,Male,81255025686,"Hantu Maut, Yogyakarta",,
322,Ana Suryana,"Walet Basura Pajajaran, Jawa Barat",T,32543534,Male,81255025687,"Walet Basura Pajajaran, Jawa Barat",,
323,Widiatmoko,Agung Sedayu Jogja,U,32543535,Male,81255025688,Agung Sedayu Jogja,,
324,Winarno,Kridobusoro Klaten,U,32543536,Male,81255025689,Kridobusoro Klaten,,
325,"Drs Ary Widayanto, M,Pd",Bwt,U,32543537,Male,81255025690,Bwt,,
326,Agus Nur Sudrajad,"Siliran, Yogyakarta",U,32543538,Male,81255025691,"Siliran, Yogyakarta",,
327,Hdc,"Al Fatih Archery,  Klaten",U,32543539,Male,81255025692,"Al Fatih Archery,  Klaten",,
328,Rodin,"Kensinau, Kulon Progo",U,32543540,Male,81255025693,"Kensinau, Kulon Progo",,
329,Asep,"Pasty Istimewa ,  Yogyakarta",U,32543541,Male,81255025694,"Pasty Istimewa ,  Yogyakarta",,
330,Ivan W,"Paser Suro, Surabaya",U,32543542,Male,81255025695,"Paser Suro, Surabaya",,
331,Suharno,"Ronggo Sedayu, Klaten",U,32543543,Male,81255025696,"Ronggo Sedayu, Klaten",,
332,Sumarno,"Kridha Warastra, Bantul",U,32543544,Male,81255025697,"Kridha Warastra, Bantul",,
333,Danang Rusmandoko,"Hantu Maut, Yogyakarta",U,32543545,Male,81255025698,"Hantu Maut, Yogyakarta",,
334,Sugito,"Jcc, Sleman",U,32543546,Male,81255025699,"Jcc, Sleman",,
335,Abhimanyu,"Jemparingan Tasikmalaya, Jawa Barat",U,32543547,Male,81255025700,"Jemparingan Tasikmalaya, Jawa Barat",,
336,Panut Widodo,"Paguyuban Wirotomo , Jogja",U,32543548,Male,81255025701,"Paguyuban Wirotomo , Jogja",,
337,Lasono,"Warastra ,  Sleman",U,32543549,Male,81255025702,"Warastra ,  Sleman",,
338,Husen,"Kensinau, Kulon Progo",V,32543550,Male,81255025703,"Kensinau, Kulon Progo",,
339,Giyanto,Agung Sedayu Jogja,V,32543551,Male,81255025704,Agung Sedayu Jogja,,
340,Marjono,"Siliran, Yogyakarta",V,32543552,Male,81255025705,"Siliran, Yogyakarta",,
341,Tatang,Kridobusoro Klaten,V,32543553,Male,81255025706,Kridobusoro Klaten,,
342,"Drs Surpiyanto, M.S.I",Bwt,V,32543554,Male,81255025707,Bwt,,
343,Sukirno,"Kridha Warastra, Bantul",V,32543555,Male,81255025708,"Kridha Warastra, Bantul",,
344,Tono,"Pasty Istimewa ,  Yogyakarta",V,32543556,Male,81255025709,"Pasty Istimewa ,  Yogyakarta",,
345,Santoso Triwardono,"Ki Ageng Lembah Manah, Yogyakarta",V,32543557,Male,81255025710,"Ki Ageng Lembah Manah, Yogyakarta",,
346,Yan Arief,"Jcc, Sleman",V,32543558,Male,81255025711,"Jcc, Sleman",,
347,Bayu,"Paguyuban Wirotomo , Jogja",V,32543559,Male,81255025712,"Paguyuban Wirotomo , Jogja",,
348,Sumaryanto,"Warastra ,  Sleman",V,32543560,Male,81255025713,"Warastra ,  Sleman",,
349,Farel Arya Perkasa,Jemparingan Panggungharjo Bantul,V,32543561,Male,81255025714,Jemparingan Panggungharjo Bantul,,
350,Anggit,"Gendewo Mas,  Banyumas",V,32543562,Male,81255025715,"Gendewo Mas,  Banyumas",,
351,Bima Aldy Setyawan,"Warastra Jati,  Gunungkidul",V,32543563,Male,81255025716,"Warastra Jati,  Gunungkidul",,
352,Ali W,"Paser Suro, Surabaya",V,32543564,Male,81255025717,"Paser Suro, Surabaya",,
353,Hatif P,"Paser Suro, Surabaya",W,32543565,Male,81255025718,"Paser Suro, Surabaya",,
354,Nur Wicaksana,"Kridha Warastra, Bantul",W,32543566,Male,81255025719,"Kridha Warastra, Bantul",,
355,Prasetya H Wardana,Bwt,W,32543567,Male,81255025720,Bwt,,
356,Ristanto,Agung Sedayu Jogja,W,32543568,Male,81255025721,Agung Sedayu Jogja,,
357,Joko Witono,Kridobusoro Klaten,W,32543569,Male,81255025722,Kridobusoro Klaten,,
358,Sularto,"Siliran, Yogyakarta",W,32543570,Male,81255025723,"Siliran, Yogyakarta",,
359,Zukrofi,"Kensinau, Kulon Progo",W,32543571,Male,81255025724,"Kensinau, Kulon Progo",,
360,Guntur,"Pasty Istimewa ,  Yogyakarta",W,32543572,Male,81255025725,"Pasty Istimewa ,  Yogyakarta",,
361,Katono,"Hantu Maut, Yogyakarta",W,32543573,Male,81255025726,"Hantu Maut, Yogyakarta",,
362,Iman Supardan,"Walet Basura Pajajaran, Jawa Barat",W,32543574,Male,81255025727,"Walet Basura Pajajaran, Jawa Barat",,
363,Arisady,"Warastra ,  Sleman",W,32543575,Male,81255025728,"Warastra ,  Sleman",,
364,Yudi Wiratno,"Ki Ageng Lembah Manah, Yogyakarta",W,32543576,Male,81255025729,"Ki Ageng Lembah Manah, Yogyakarta",,
365,Fian,"Jcc, Sleman",W,32543577,Male,81255025730,"Jcc, Sleman",,
366,Riyan,"Paguyuban Wirotomo , Jogja",W,32543578,Male,81255025731,"Paguyuban Wirotomo , Jogja",,
367,Agus Prasetyo,"Ronggo Sedayu, Klaten",W,32543579,Male,81255025732,"Ronggo Sedayu, Klaten",,
368,Jhon Rudi S.Y.,"Ronggo Sedayu, Klaten",X,32543580,Male,81255025733,"Ronggo Sedayu, Klaten",,
369,Matheus Bimo Udoro,Bwt,X,32543581,Male,81255025734,Bwt,,
370,Galih Septyan,Agung Sedayu Jogja,X,32543582,Male,81255025735,Agung Sedayu Jogja,,
371,Muh Taukhid,"Siliran, Yogyakarta",X,32543583,Male,81255025736,"Siliran, Yogyakarta",,
372,Wawan,Kridobusoro Klaten,X,32543584,Male,81255025737,Kridobusoro Klaten,,
373,Joko,"Kensinau, Kulon Progo",X,32543585,Male,81255025738,"Kensinau, Kulon Progo",,
374,Riski,"Pasty Istimewa ,  Yogyakarta",X,32543586,Male,81255025739,"Pasty Istimewa ,  Yogyakarta",,
375,Eko Ba'Abut,"Paser Suro, Surabaya",X,32543587,Male,81255025740,"Paser Suro, Surabaya",,
376,Triono,"Hantu Maut, Yogyakarta",X,32543588,Male,81255025741,"Hantu Maut, Yogyakarta",,
377,Maulana Yusup,"Walet Basura Pajajaran, Jawa Barat",X,32543589,Male,81255025742,"Walet Basura Pajajaran, Jawa Barat",,
378,Budi Yuliarso,"Ki Ageng Lembah Manah, Yogyakarta",X,32543590,Male,81255025743,"Ki Ageng Lembah Manah, Yogyakarta",,
379,P.Ngatino,"Paguyuban Wirotomo , Jogja",X,32543591,Male,81255025744,"Paguyuban Wirotomo , Jogja",,
380,Supriyanto,"Lembah Manah, Wonogiri",X,32543592,Male,81255025745,"Lembah Manah, Wonogiri",,
381,Surono,"Jcc, Sleman",X,32543593,Male,81255025746,"Jcc, Sleman",,
382,Puji Setiawan,Jemparingan Panggungharjo Bantul,X,32543594,Male,81255025747,Jemparingan Panggungharjo Bantul,,
383,Yulianta,"Hantu Maut, Yogyakarta",Y,32543595,Male,81255025748,"Hantu Maut, Yogyakarta",,
384,Julius Rio Rolando S.,"Walet Basura Pajajaran, Jawa Barat",Y,32543596,Male,81255025749,"Walet Basura Pajajaran, Jawa Barat",,
385,Anas,Kridobusoro Klaten,Y,32543597,Male,81255025750,Kridobusoro Klaten,,
386,Cipuk Dwi,Agung Sedayu Jogja,Y,32543598,Male,81255025751,Agung Sedayu Jogja,,
387,Purteso,"Kensinau, Kulon Progo",Y,32543599,Male,81255025752,"Kensinau, Kulon Progo",,
388,Nanang,"Pasty Istimewa ,  Yogyakarta",Y,32543600,Male,81255025753,"Pasty Istimewa ,  Yogyakarta",,
389,Haryanto,"Ronggo Sedayu, Klaten",Y,32543601,Male,81255025754,"Ronggo Sedayu, Klaten",,
390,Decky Ardnel Wicaksono,Jemparingan Panggungharjo Bantul,Y,32543602,Male,81255025755,Jemparingan Panggungharjo Bantul,,
391,Hastopo,"Gendewo Mas,  Banyumas",Y,32543603,Male,81255025756,"Gendewo Mas,  Banyumas",,
392,Bayu Saputra,"Warastra Jati,  Gunungkidul",Y,32543604,Male,81255025757,"Warastra Jati,  Gunungkidul",,
393,Satino,"Paguyuban Wirotomo , Jogja",Y,32543605,Male,81255025758,"Paguyuban Wirotomo , Jogja",,
394,Sukardi,"Patri Jiwo,  Gunungkidul",Y,32543606,Male,81255025759,"Patri Jiwo,  Gunungkidul",,
395,Mochamad Arifin,Djemparingan  Mojokerto,Y,32543607,Male,81255025760,Djemparingan  Mojokerto,,
396,Soni Laksono,"Ki Ageng Lembah Manah, Yogyakarta",Y,32543608,Male,81255025761,"Ki Ageng Lembah Manah, Yogyakarta",,
397,Lambang Aji,"Ki Ageng Lembah Manah, Yogyakarta",Z,32543609,Male,81255025762,"Ki Ageng Lembah Manah, Yogyakarta",,
398,Kris Budiharjo,Bwt,Z,32543610,Male,81255025763,Bwt,,
399,Budaya,Kridobusoro Klaten,Z,32543611,Male,81255025764,Kridobusoro Klaten,,
400,Danisubandono,Agung Sedayu Jogja,Z,32543612,Male,81255025765,Agung Sedayu Jogja,,
401,Suhar,"Kensinau, Kulon Progo",Z,32543613,Male,81255025766,"Kensinau, Kulon Progo",,
402,Sofyan Haryadi,"Tajem, Sukoharjo",Z,32543614,Male,81255025767,"Tajem, Sukoharjo",,
403,Opik,"Jcc, Sleman",Z,32543615,Male,81255025768,"Jcc, Sleman",,
404,Raden Novie Kurniawan,"Walet Basura Pajajaran, Jawa Barat",Z,32543616,Male,81255025769,"Walet Basura Pajajaran, Jawa Barat",,
405,Reistu Windu Pramudianarto,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,Z,32543617,Male,81255025770,Kawedanan Kaprajuritan 1 Karaton Yogyakarta,,
406,Kristian Prihantoro,"Ronggo Sedayu, Klaten",Z,32543618,Male,81255025771,"Ronggo Sedayu, Klaten",,
407,Muhammad Singgih,Jemparingan Panggungharjo Bantul,Z,32543619,Male,81255025772,Jemparingan Panggungharjo Bantul,,
408,Riyanta,"Warastra ,  Sleman",Z,32543620,Male,81255025773,"Warastra ,  Sleman",,
409,Mr. Jery,"Gendewo Mas,  Banyumas",Z,32543621,Male,81255025774,"Gendewo Mas,  Banyumas",,
410,Nurdin M Zakaria,"Jemparingan Tasikmalaya, Jawa Barat",Z,32543622,Male,81255025775,"Jemparingan Tasikmalaya, Jawa Barat",,
411,Herman,"Jemparingan Tasikmalaya, Jawa Barat",AA,32543623,Male,81255025776,"Jemparingan Tasikmalaya, Jawa Barat",,
412,Banu F,"Jcc, Sleman",AA,32543624,Male,81255025777,"Jcc, Sleman",,
413,Budi Susilo,"Ki Ageng Lembah Manah, Yogyakarta",AA,32543625,Male,81255025778,"Ki Ageng Lembah Manah, Yogyakarta",,
414,Mochamad Nugroho,"Lembah Manah, Wonogiri",AA,32543626,Male,81255025779,"Lembah Manah, Wonogiri",,
415,Lea ,"Kensinau, Kulon Progo",AA,32543627,Male,81255025780,"Kensinau, Kulon Progo",,
416,M Yazid,Agung Sedayu Jogja,AA,32543628,Male,81255025781,Agung Sedayu Jogja,,
